id,bbl,bin,street_number,street_name,borough,zipcode,on_covered_buildings_list,dof_benchmarking_status,site_eui,weather_normalized_site_eui,source_eui,weather_normalized_source_eui,indoor_water_intensity,reported_water_method,energy_star_score,total_ghg_emissions,direct_ghg_emissions,indirect_ghg_emissions,property_floor_area,primary_property_type
9774,4050210008,4113628,142-10,roosevelt avenue,queens,11354,yes,in compliance,63.1,0,90,0,0,none,89,750.7,564.4,186.3,194882,multifamily housing
9775,4021500001,4432064,64-35,yellowstone blvd,queens,11375,yes,in compliance,0,0,0,0,0,none,0,280.8,92.8,188,182514,multifamily housing
9776,4033410030,4079916,114-20,queens boulevard,queens,11375,yes,in compliance,62.7,61.3,81.7,80.2,0,none,93,351.2,298.2,53,74242,multifamily housing
9777,1010190001,1086225,770,8 avenue,manhattan,10036,yes,in compliance,111.2,108.8,147.6,145.1,0,none,0,2379.5,1921.7,457.8,374890,multifamily housing
9778,1009070016,1019852,225,east 26 street,manhattan,10010,yes,in compliance,91.3,91.1,136.6,136.2,0,none,70,374.6,281,93.6,54252,multifamily housing
9779,4021127501,4050659,63-60,102 street,queens,11374,yes,in compliance,103.8,0,140.2,0,0,none,0,719.2,573,146.2,116662,multifamily housing
9780,1012520017,1034123,675,west end avenue,manhattan,10025,yes,in compliance,89.5,85,122.3,117.5,0,none,59,468.7,377.8,90.9,75468,multifamily housing
9781,5028930001,5043578,195,steuben street,staten island,10304,yes,in compliance,62,60.5,94.2,92.7,0,none,0,533.4,367.2,166.2,143836,multifamily housing
9782,5028940001,5043579,231,steuben street,staten island,10304,yes,in compliance,68.8,67.8,99.3,98.3,0,none,0,581.4,427.1,154.4,143836,multifamily housing
9783,2024460021,2002484,977,grant avenue,bronx,10456,yes,in compliance,22.6,22.6,56.6,56.6,0,none,100,85.5,18.8,66.7,51203,multifamily housing
9784,1010030029,1022709,1261,avenue of the amer,manhattan,10020,yes,in compliance,97.3,95.8,227,225.2,0,none,71,14559,408.9,14150.1,1979787,office
9785,2027430019,2006021,1054,southern boulevard,bronx,10459,yes,in compliance,118.9,118.7,207.5,207.3,0,none,0,571.7,353,218.7,64880,multifamily housing
9786,1022150326,1064584,99,marble hill avenue,bronx,10463,yes,in compliance,0,0,0,0,0,none,0,0,0,0,67620,multifamily housing
9787,1021490093,1063584,2541,amsterdam avenue,manhattan,10033,yes,in compliance,0,0,0,0,0,none,0,0,0,0,81312,multifamily housing
9788,2039800020,2041847,2510,tratman avenue,bronx,10461,yes,in compliance,0,0,0,0,0,none,0,0,0,0,70030,multifamily housing
9789,1009280009,1020570,321,east 22 street,manhattan,10010,yes,in compliance,56.1,0,94.7,0,0,none,96,332,197,135,95083,multifamily housing
9790,1007730027,1014148,225,west 23 street,manhattan,10011,yes,in compliance,82.8,78.1,125.2,120.2,31.9,abs,92,429.7,319.6,110,68000,multifamily housing
9791,1007730056,1014159,220,west 24 street,manhattan,10011,yes,in compliance,93.9,88.6,139.3,133.8,60.34,abs,83,421.9,319.6,102.2,59000,multifamily housing
9792,3074400020,3204126,2940,ocean avenue,brooklyn,11235,yes,in compliance,82.1,0,102.9,0,0,none,49,301.9,258.5,43.4,65625,multifamily housing
9793,3074400028,3204127,2950,ocean avenue,brooklyn,11235,yes,in compliance,85.1,0,103.7,0,0,none,47,310.1,272.7,37.4,65625,multifamily housing
9794,3054200050,3127822,680,ocean parkway,brooklyn,11230,yes,in compliance,16.3,16.3,51.1,51.1,0,none,100,83.7,0,83.7,62000,multifamily housing
9795,3058710069,3145633,237,ovington avenue,brooklyn,11209,yes,in compliance,103.7,0,127,0,0,none,58,473.8,418.5,55.3,69000,multifamily housing
9796,2058343001,2084601,6255,broadway,bronx,10471,yes,in compliance,69.1,0,91.8,0,0,none,88,276.4,226.7,49.8,62000,multifamily housing
9797,4018720025,4046342,56-10,94 street,queens,11373,yes,in compliance,116.1,0,119.8,0,0,none,73,886.6,878.9,7.7,107390,multifamily housing
9798,2023827502,2113742,406,east 161 street,bronx,10451,yes,in compliance,99.2,95.7,148.2,144.4,0,none,53,497.6,350.3,147.3,84351,multifamily housing
9799,2029640029,2114127,1402,bristow street,bronx,10459,yes,in compliance,91.3,87.9,130.7,127.4,0,none,63,504.6,374.1,130.5,94408,multifamily housing
9800,4004430014,4005206,12-12,43 avenue,queens,11101,yes,in compliance,106.6,105.1,259.1,257,0,none,20,844.9,208.8,636.1,108880,office
9801,4051850054,4117143,140-65,beech avenue,queens,11355,yes,in compliance,37.9,37.9,65.5,65.4,0,none,100,234.4,144.9,89.6,85923,multifamily housing
9802,3030930001,3071424,72,bogart street,brooklyn,11206,yes,in compliance,57.3,52.7,85.9,81.1,0,none,94,308,215.7,92.2,90352,office
9803,4002550001,4003453,33-01,hunters point avenue,queens,11101,yes,in compliance,103.5,103.8,203.3,204,0,none,0,469.7,245.4,224.4,58400,manufacturing/industrial plant
9804,4002500001,4003445,4725,34 street,queens,11101,yes,in compliance,72.8,69.2,128.8,125.2,0,none,0,1487.5,818.7,668.8,322290,manufacturing/industrial plant
